Team,Year,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,PDO
Pittsburgh Penguins,2013,29,48,36,12,0,72,0.75,165,119,3,0,0.91,-0.05,5.92,118,82,42,170,24.71,34,167,79.64,2,3,11.7,12.1,1438,11.3,1403,0.915,102.5
Anaheim Ducks,2013,28.8,48,30,12,6,66,0.688,140,118,6,3,0.43,-0.02,5.38,100,80,29,135,21.48,30,162,81.48,5,5,11.1,9.5,1347,9.9,1340,0.914,101.5
Montreal Canadiens,2013,27.8,48,29,14,5,63,0.656,149,126,3,2,0.46,-0.02,5.73,104,87,42,203,20.69,35,173,79.77,0,2,13.3,14.9,1468,9.9,1293,0.904,100.9
Boston Bruins,2013,27.8,48,28,14,6,62,0.646,131,109,4,3,0.44,-0.02,5,104,83,18,122,14.75,21,163,87.12,5,2,12.2,9.8,1557,8.2,1373,0.923,100.5
St. Louis Blues,2013,26.3,48,29,17,2,60,0.625,129,115,5,1,0.31,0.02,5.08,92,86,29,149,19.46,23,150,84.67,3,5,11.1,11.3,1336,9.3,1161,0.902,99.4
Los Angeles Kings,2013,26.5,48,27,16,5,59,0.615,133,118,2,4,0.29,-0.02,5.23,96,86,33,166,19.88,27,161,83.23,2,1,10,10.6,1431,9.2,1198,0.905,99.2
Vancouver Canucks,2013,28.2,48,26,15,7,59,0.615,127,121,5,6,0.07,-0.06,5.17,94,85,26,165,15.76,27,169,84.02,2,3,12.7,13.1,1350,9,1389,0.917,100.4
Toronto Maple Leafs,2013,26,48,26,17,5,57,0.594,145,133,0,5,0.27,0.02,5.79,113,105,31,166,18.67,19,157,87.9,1,4,16.2,15.2,1264,11.5,1549,0.917,102.5
Washington Capitals,2013,26.6,48,27,18,3,57,0.594,149,130,3,0,0.31,-0.09,5.81,99,90,44,164,26.83,36,163,77.91,3,4,10.8,11.5,1350,10.8,1551,0.916,101.2
San Jose Sharks,2013,28.9,48,25,16,7,57,0.594,124,116,8,4,0.17,0.01,5,79,86,34,169,20.12,22,147,85.03,3,4,10.9,11.2,1526,7.6,1390,0.919,99.7
Ottawa Senators,2013,27.4,48,25,17,6,56,0.583,116,104,4,4,0.27,0.02,4.58,85,79,25,157,15.92,20,167,88.02,2,1,13.6,13.8,1591,7,1502,0.933,99.6
Detroit Red Wings,2013,28.2,48,24,16,8,56,0.583,124,115,2,5,0.2,0.01,4.98,85,75,34,185,18.38,30,164,81.71,3,5,9.8,11.5,1447,8.4,1322,0.917,100.2
New York Rangers,2013,27.2,48,26,18,4,56,0.583,130,112,4,4,0.38,0,5.04,97,76,24,153,15.69,28,148,81.08,5,4,9.3,10.1,1483,8.5,1353,0.92,100.8
Columbus Blue Jackets,2013,26.3,48,24,17,7,55,0.573,120,119,5,4,0.03,0.01,4.98,90,88,22,155,14.19,25,144,82.64,3,2,12.6,12.8,1283,9,1436,0.92,101.2
Minnesota Wild,2013,27.8,48,26,19,3,55,0.573,122,127,4,2,-0.16,-0.05,5.19,90,99,27,151,17.88,26,135,80.74,1,0,11.4,11.8,1382,8.5,1299,0.904,98.9
New York Islanders,2013,28.7,48,24,17,7,55,0.573,139,139,4,3,0.03,0.03,5.79,102,108,31,156,19.87,28,142,80.28,2,0,9.6,10.3,1485,9.1,1352,0.899,99.1
Phoenix Coyotes,2013,28.4,48,21,18,9,51,0.531,125,131,4,6,-0.1,0.03,5.33,94,89,25,169,14.79,34,169,79.88,2,2,10.5,10.1,1482,8.2,1467,0.915,100.2
Winnipeg Jets,2013,26.4,48,24,21,3,51,0.531,128,144,2,3,-0.36,-0.03,5.67,105,110,20,145,13.79,28,138,79.71,1,3,11.1,10.5,1389,9.1,1424,0.901,99.6
Philadelphia Flyers,2013,27.9,48,23,22,3,49,0.51,133,141,1,2,-0.14,0.03,5.71,93,110,37,171,21.64,26,184,85.87,2,3,15.7,15.6,1394,9.5,1371,0.899,99.1
Buffalo Sabres,2013,27.3,48,21,21,6,48,0.5,125,143,7,4,-0.31,0.07,5.58,88,95,23,163,14.11,37,178,79.21,7,7,13.1,12.4,1339,8.8,1606,0.913,100.5
New Jersey Devils,2013,30.8,48,19,19,10,48,0.5,112,129,2,7,-0.31,0.04,5.02,71,84,28,176,15.91,32,169,81.07,11,6,10.6,11.5,1362,8,1110,0.89,97.8
Dallas Stars,2013,28.2,48,22,22,4,48,0.5,130,142,2,1,-0.21,0.05,5.67,97,104,29,171,16.96,34,179,81.01,2,3,13,13,1261,10.2,1489,0.905,101.1
Edmonton Oilers,2013,26.4,48,19,22,7,45,0.469,125,134,2,3,-0.22,-0.03,5.4,85,101,34,169,20.12,29,175,83.43,4,1,10.8,11.4,1285,9.6,1572,0.917,100.6
Calgary Flames,2013,29,48,19,25,4,42,0.438,128,160,0,3,-0.65,0.02,6,91,127,31,155,20,28,151,81.46,6,2,10.8,9.9,1293,9.9,1412,0.889,97.9
Carolina Hurricanes,2013,26.9,48,19,25,4,42,0.438,128,160,1,1,-0.65,0.02,6,100,119,24,165,14.55,36,161,77.64,3,4,11.2,10.6,1545,8.2,1546,0.898,98.7
Nashville Predators,2013,27.3,48,16,23,9,41,0.427,111,139,2,6,-0.5,0.09,5.21,84,95,24,140,17.14,34,139,75.54,1,4,9.8,10.1,1244,8.8,1335,0.9,99.7
Tampa Bay Lightning,2013,27.7,48,18,26,4,40,0.417,148,150,1,3,-0.11,-0.07,6.21,116,113,31,163,19.02,30,155,80.65,0,4,12,13,1323,11.1,1451,0.899,101
Colorado Avalanche,2013,26.7,48,16,25,7,39,0.406,116,152,2,2,-0.73,0.02,5.58,90,111,21,140,15,36,183,80.33,3,3,12.5,9.8,1415,8.1,1508,0.901,98.6
Florida Panthers,2013,27.8,48,15,27,6,36,0.375,112,171,3,1,-1.18,0.05,5.9,76,130,29,142,20.42,39,151,74.17,4,1,11.3,10.3,1400,7.8,1504,0.887,96.6
Vancouver Canucks,2012,28.5,82,51,22,9,111,0.677,249,198,8,7,0.57,-0.05,5.45,177,147,57,288,19.79,40,286,86.01,7,4,12.8,12.4,2583,9.3,2526,0.924,101.2
New York Rangers,2012,26.5,82,51,24,7,109,0.665,226,187,4,5,0.46,-0.02,5.04,170,142,44,280,15.71,36,260,86.15,8,4,12.9,14.5,2338,9.5,2281,0.92,100.9
St. Louis Blues,2012,26.5,82,49,22,11,109,0.665,210,165,4,10,0.54,-0.01,4.57,154,112,45,269,16.73,40,282,85.82,7,3,13,12.1,2511,8.2,2190,0.929,100.7
Pittsburgh Penguins,2012,28.5,82,51,25,6,108,0.659,282,221,9,3,0.71,-0.03,6.13,205,175,57,289,19.72,33,270,87.78,11,10,10.7,12.3,2779,9.8,2247,0.903,99.8
Nashville Predators,2012,26.8,82,48,26,8,104,0.634,237,210,5,5,0.34,0.01,5.45,173,161,54,250,21.6,40,244,83.61,5,4,8.4,8.3,2261,10.3,2522,0.919,101
Philadelphia Flyers,2012,27.3,82,47,26,9,103,0.628,264,232,4,7,0.39,0,6.05,188,158,66,335,19.7,58,319,81.82,6,9,16.1,16.4,2641,9.8,2329,0.903,100.4
Detroit Red Wings,2012,30,82,48,28,6,102,0.622,248,203,9,3,0.55,0,5.5,189,139,48,298,16.11,50,274,81.75,2,11,8.5,10.4,2638,9.1,2212,0.91,101.2
New Jersey Devils,2012,30.1,82,48,28,6,102,0.622,228,209,12,4,0.23,0,5.33,155,165,46,267,17.23,27,259,89.58,15,13,11.5,10.7,2253,9.6,2199,0.907,99.7
Boston Bruins,2012,28.8,82,49,29,4,102,0.622,269,202,9,3,0.75,-0.07,5.74,209,155,43,250,17.2,43,260,83.46,8,1,13.5,11.9,2653,9.8,2441,0.918,101.2
Chicago Blackhawks,2012,27,82,45,26,11,101,0.616,248,238,7,7,0.14,0.02,5.93,192,177,42,277,15.16,51,233,78.11,7,3,10.3,11.3,2583,9.3,2343,0.901,99.2
Phoenix Coyotes,2012,28.9,82,42,27,13,97,0.591,216,204,6,10,0.16,0.01,5.12,170,152,34,251,13.55,36,249,85.54,6,6,9.2,9.6,2428,8.6,2592,0.925,100.9
San Jose Sharks,2012,28.1,82,43,29,10,96,0.585,228,210,9,5,0.22,0,5.34,159,149,57,270,21.11,52,225,76.89,3,4,9.6,11.2,2773,7.9,2342,0.912,99.6
Los Angeles Kings,2012,26.7,82,40,27,15,95,0.579,194,179,6,9,0.19,0.01,4.55,130,130,49,289,16.96,38,293,87.03,9,2,11.3,11.1,2509,7.5,2248,0.924,99.1
Florida Panthers,2012,29,82,38,26,18,94,0.573,203,227,6,11,-0.33,-0.03,5.24,140,161,53,286,18.53,49,239,79.5,4,6,9.7,10.9,2433,8.1,2505,0.914,99.4
Ottawa Senators,2012,27.8,82,41,31,10,92,0.561,249,240,6,4,0.09,-0.02,5.96,185,172,49,270,18.15,57,310,81.61,9,7,14,12.2,2574,9.4,2627,0.91,100.1
Washington Capitals,2012,27.6,82,42,32,8,92,0.561,222,230,4,4,-0.13,-0.03,5.51,174,167,41,245,16.73,49,266,81.58,3,10,9.4,8.3,2295,9.5,2475,0.909,100.4
Calgary Flames,2012,29.6,82,37,29,16,90,0.549,202,226,3,9,-0.28,0.01,5.22,150,169,46,260,17.69,42,268,84.33,3,6,10.8,10.5,2258,8.8,2528,0.914,100.3
Dallas Stars,2012,28.4,82,42,35,5,89,0.543,211,222,7,4,-0.1,0.03,5.28,166,163,33,244,13.52,52,303,82.84,5,3,12.6,10.9,2314,8.8,2527,0.914,99.8
Buffalo Sabres,2012,27,82,39,32,11,89,0.543,218,230,7,7,-0.15,0,5.46,162,169,44,258,17.05,47,257,81.71,5,7,11,12,2397,8.8,2571,0.913,100.6
Colorado Avalanche,2012,25.9,82,41,35,6,88,0.537,208,220,9,2,-0.13,0.01,5.22,153,167,41,223,18.39,47,277,83.03,5,4,11,9.5,2583,7.7,2426,0.91,99.2
Tampa Bay Lightning,2012,29.5,82,38,36,8,84,0.512,235,281,3,3,-0.57,-0.01,6.29,189,207,41,269,15.24,59,284,79.23,2,12,10.5,10.2,2227,10.4,2501,0.889,100.1
Winnipeg Jets,2012,26.2,82,37,35,10,84,0.512,225,246,4,4,-0.3,-0.04,5.74,173,176,45,251,17.93,58,292,80.14,3,8,11,9.7,2471,8.9,2470,0.902,99.8
Carolina Hurricanes,2012,26.5,82,33,33,16,82,0.5,213,243,1,6,-0.39,-0.02,5.56,150,184,49,294,16.67,49,252,80.56,12,4,9.3,10.9,2497,8.5,2653,0.911,99.5
Minnesota Wild,2012,27.4,82,35,36,11,81,0.494,177,226,11,9,-0.58,0.02,4.91,122,162,39,258,15.12,51,285,82.11,5,4,12.1,12.3,2174,7.6,2570,0.916,98.9
Anaheim Ducks,2012,28.5,82,34,36,12,80,0.488,204,231,3,7,-0.29,0.04,5.3,152,168,45,271,16.61,51,283,81.98,4,5,12,11.2,2291,8.8,2367,0.905,99.6
Toronto Maple Leafs,2012,25.9,82,35,37,10,80,0.488,231,264,4,5,-0.38,0.02,6.04,173,198,49,267,18.35,55,242,77.27,5,6,10,10.4,2322,9.8,2528,0.898,99.5
New York Islanders,2012,27.8,82,34,37,11,79,0.482,203,255,7,4,-0.58,0.05,5.59,147,200,45,243,18.52,46,236,80.51,4,5,9.3,9,2410,8.1,2469,0.898,98.2
Montreal Canadiens,2012,26.8,82,31,35,16,78,0.476,212,226,5,12,-0.17,0,5.34,154,170,43,301,14.29,36,315,88.57,10,8,11.6,11.9,2340,8.8,2432,0.912,100.4
Edmonton Oilers,2012,27.4,82,32,40,10,74,0.451,212,239,5,7,-0.32,0.01,5.5,148,172,54,262,20.61,52,296,82.43,5,8,11.5,10,2186,9.5,2518,0.908,100.1
Columbus Blue Jackets,2012,26.7,82,29,46,7,65,0.396,202,262,4,5,-0.65,0.08,5.66,142,185,49,317,15.46,64,274,76.64,7,8,12.6,14.1,2454,8.1,2537,0.899,99.2
Vancouver Canucks,2011,28.1,82,54,19,9,117,0.713,262,185,4,5,0.87,-0.07,5.45,180,133,72,296,24.32,45,312,85.58,6,2,11.5,11.2,2624,9.8,2470,0.927,101.3
Washington Capitals,2011,25.9,82,48,23,11,107,0.652,224,197,5,6,0.27,-0.06,5.13,166,143,46,263,17.49,43,299,85.62,7,5,11.3,10.6,2566,8.5,2375,0.92,100.2
Philadelphia Flyers,2011,27.6,82,47,23,12,106,0.646,259,223,3,7,0.4,-0.04,5.88,194,157,49,295,16.61,54,313,82.75,13,5,13.6,13.4,2605,9.8,2471,0.913,101.1
Pittsburgh Penguins,2011,27.4,82,49,25,8,106,0.646,238,199,10,3,0.43,-0.05,5.33,166,145,49,311,15.76,45,324,86.11,13,6,16.9,16.5,2581,8.8,2352,0.917,100.1
San Jose Sharks,2011,27.9,82,48,25,9,105,0.64,248,213,5,5,0.44,0.02,5.62,169,145,68,290,23.45,56,273,79.49,6,7,11.3,12,2832,8.6,2368,0.912,100.2
Detroit Red Wings,2011,30.7,82,47,25,10,104,0.634,261,241,4,4,0.27,0.03,6.12,185,177,67,301,22.26,53,300,82.33,5,7,9.2,9.5,2757,9.3,2514,0.906,99.6
Tampa Bay Lightning,2011,29,82,46,25,11,103,0.628,247,240,6,6,0.04,-0.05,5.94,171,169,69,336,20.54,49,302,83.77,1,16,11,11.6,2605,9.3,2354,0.901,99.2
Boston Bruins,2011,28.3,82,46,25,11,103,0.628,246,195,2,6,0.56,-0.07,5.38,190,138,43,266,16.17,46,265,82.64,11,5,13.6,13.8,2696,9.1,2682,0.93,102.1
Phoenix Coyotes,2011,29,82,43,26,13,99,0.604,231,226,5,6,0.11,0.05,5.57,175,150,46,289,15.92,64,296,78.38,5,6,10.5,10.1,2486,9.1,2673,0.918,101.1
Nashville Predators,2011,26.7,82,44,27,11,99,0.604,219,194,6,4,0.31,0.01,5.04,167,147,41,269,15.24,41,272,84.93,5,2,8.8,8.5,2361,9,2510,0.924,101.5
Anaheim Ducks,2011,28.9,82,47,30,5,99,0.604,239,235,4,2,0.09,0.05,5.78,161,169,67,285,23.51,57,305,81.31,7,7,14.4,13.4,2334,10.1,2648,0.912,100.1
Los Angeles Kings,2011,26.3,82,46,30,6,98,0.598,219,198,10,2,0.29,0.03,5.09,158,150,47,291,16.15,40,276,85.51,4,6,11.7,11.8,2363,8.8,2288,0.914,100.4
Chicago Blackhawks,2011,26.7,82,44,29,9,97,0.591,258,225,6,5,0.41,0.01,5.89,182,163,64,277,23.1,53,255,79.22,6,4,9,9.5,2637,9.6,2354,0.907,100
Montreal Canadiens,2011,27.6,82,44,30,8,96,0.585,216,209,3,3,0.05,-0.04,5.18,151,149,57,290,19.66,51,327,84.4,5,6,13.3,12.9,2602,8.2,2537,0.919,99.7
Buffalo Sabres,2011,27.5,82,43,29,10,96,0.585,245,229,5,1,0.15,-0.04,5.78,184,164,54,279,19.35,51,300,83,2,13,11.7,11.4,2690,8.9,2514,0.909,100.2
Dallas Stars,2011,28,82,42,29,11,95,0.579,227,233,5,7,-0.02,0.05,5.61,157,156,55,306,17.97,55,277,80.14,10,15,13,13.8,2269,9.8,2504,0.91,101
Calgary Flames,2011,30,82,41,29,12,94,0.573,250,237,9,7,0.14,-0.02,5.94,172,168,62,318,19.5,53,282,81.21,7,9,10.2,11.2,2501,9.6,2338,0.902,100.1
New York Rangers,2011,26.2,82,44,33,5,93,0.567,233,198,9,3,0.37,-0.06,5.26,164,148,49,290,16.9,42,257,83.66,11,5,13.1,14.6,2453,9.1,2410,0.919,100.6
Carolina Hurricanes,2011,26.6,82,40,31,11,91,0.555,236,239,5,5,-0.08,-0.04,5.79,169,177,55,346,15.9,51,272,81.25,7,6,10.2,12.8,2517,9.2,2725,0.914,100.4
St. Louis Blues,2011,25.7,82,38,33,11,87,0.53,240,234,4,6,0.11,0.04,5.78,177,176,52,279,18.64,51,279,81.72,7,1,14.9,15.5,2475,9.5,2274,0.9,99.5
Minnesota Wild,2011,28.9,82,39,35,8,86,0.524,206,233,3,5,-0.3,0.03,5.35,143,168,53,292,18.15,53,309,82.85,7,7,12,12.1,2148,9.5,2625,0.913,100.3
Toronto Maple Leafs,2011,25.7,82,37,34,11,85,0.518,218,251,5,6,-0.41,0,5.72,156,175,52,326,15.95,62,275,77.45,5,8,12,13.7,2360,9,2540,0.904,100.5
New Jersey Devils,2011,29.9,82,38,39,5,81,0.494,174,209,3,2,-0.41,0.02,4.67,134,159,34,237,14.35,40,241,83.4,3,8,9.3,9.6,2344,7.3,2152,0.904,98.1
Columbus Blue Jackets,2011,26.8,82,34,35,13,81,0.494,215,258,5,8,-0.45,0.08,5.77,162,177,42,301,13.95,62,314,80.25,6,11,13.6,13.8,2506,8.4,2447,0.898,98.9
Atlanta Thrashers,2011,26.1,82,34,36,12,80,0.488,223,269,5,7,-0.57,-0.01,6,159,189,53,289,18.34,64,285,77.54,6,10,11.3,10.7,2581,8.4,2638,0.901,99
Ottawa Senators,2011,28.1,82,32,40,10,74,0.451,192,250,2,5,-0.69,0.02,5.39,139,193,45,257,17.51,48,295,83.73,6,4,14,11.8,2381,8,2559,0.904,97.9
New York Islanders,2011,26.2,82,30,39,13,73,0.445,229,264,4,6,-0.42,0.01,6.01,158,199,52,302,17.22,52,310,83.23,15,7,18.5,16.2,2408,9.3,2620,0.902,99.2
Florida Panthers,2011,28.3,82,30,40,12,72,0.439,195,229,4,7,-0.43,-0.01,5.17,152,176,35,267,13.11,41,267,84.64,4,5,8.7,9.1,2493,7.7,2609,0.915,99.2
Colorado Avalanche,2011,25.9,82,30,44,8,68,0.415,227,288,6,1,-0.7,0.05,6.28,164,201,49,265,18.49,75,314,76.11,8,11,13.1,11.6,2394,9.2,2609,0.89,99.4
Edmonton Oilers,2011,26.2,82,25,45,12,62,0.378,193,269,2,9,-0.87,0.06,5.63,139,184,44,304,14.47,74,321,76.95,8,2,15.5,14.5,2188,8.7,2597,0.9,98.9
Washington Capitals,2010,27.2,82,54,15,13,121,0.738,318,233,5,6,0.9,-0.14,6.72,230,152,79,313,25.24,67,316,78.8,4,8,11.6,11.2,2693,11.6,2535,0.91,102.7
San Jose Sharks,2010,29.3,82,51,20,11,113,0.689,264,215,7,6,0.65,0.05,5.84,184,151,65,309,21.04,49,324,84.88,8,9,14.1,13.1,2602,9.9,2571,0.919,101.3
Chicago Blackhawks,2010,26.6,82,52,22,8,112,0.683,271,209,9,6,0.77,0.02,5.85,197,159,52,294,17.69,40,266,84.96,13,4,11.3,11.7,2798,9.4,2058,0.901,99
Phoenix Coyotes,2010,28.2,82,50,25,7,107,0.652,225,202,14,6,0.34,0.06,5.21,162,141,46,314,14.65,49,317,84.54,3,6,11.3,10.8,2502,8.4,2427,0.919,100.1
New Jersey Devils,2010,30.5,82,48,27,7,103,0.628,222,191,6,5,0.31,-0.07,5.04,158,140,51,272,18.75,41,240,82.92,7,5,10.5,11.4,2459,8.8,2213,0.916,100.2
Vancouver Canucks,2010,28.1,82,49,28,5,103,0.628,272,222,4,4,0.6,-0.01,6.02,191,155,68,323,21.05,59,320,81.56,8,6,15.5,15.1,2534,10.6,2419,0.91,101.5
Detroit Red Wings,2010,30.3,82,44,24,14,102,0.622,229,216,6,9,0.23,0.07,5.43,156,163,59,307,19.22,43,267,83.9,8,1,8.8,9.9,2737,8.1,2413,0.914,98.9
Los Angeles Kings,2010,26.2,82,46,27,9,101,0.616,241,219,10,8,0.32,0.05,5.61,163,145,64,307,20.85,60,304,80.26,4,6,11.9,12.5,2389,9.7,2260,0.907,99.9
Pittsburgh Penguins,2010,27.8,82,47,28,7,101,0.616,257,237,8,2,0.17,-0.07,6.02,186,175,56,326,17.18,52,327,84.1,7,8,14.6,14.7,2688,9.3,2350,0.9,99.6
Nashville Predators,2010,27.6,82,47,29,6,100,0.61,225,225,8,4,0.06,0.06,5.49,165,156,47,286,16.43,59,258,77.13,5,5,8.7,9.9,2508,8.7,2396,0.908,100
Buffalo Sabres,2010,27.8,82,45,27,10,100,0.61,235,207,4,6,0.26,-0.08,5.39,172,160,55,313,17.57,38,284,86.62,4,3,11.2,11.7,2588,8.9,2573,0.922,100.2
Colorado Avalanche,2010,26.4,82,43,30,9,95,0.579,244,233,7,5,0.16,0.02,5.82,173,159,56,310,18.06,60,303,80.2,8,9,12.5,13.5,2287,10.4,2629,0.913,101.3
Ottawa Senators,2010,27.9,82,44,32,6,94,0.573,225,238,5,5,-0.22,-0.06,5.65,165,179,49,290,16.9,50,318,84.28,5,4,13.9,13.2,2436,9,2340,0.9,98
Boston Bruins,2010,28.1,82,39,30,13,91,0.555,206,200,10,9,0.01,-0.06,4.95,146,150,44,265,16.6,37,272,86.4,6,3,11.6,11.6,2599,7.5,2444,0.922,99.4
Calgary Flames,2010,28.8,82,40,32,10,90,0.549,204,210,3,7,-0.03,0.04,5.05,150,147,43,268,16.04,54,305,82.3,7,1,13.9,13.2,2350,8.6,2372,0.914,99.8
St. Louis Blues,2010,27.9,82,40,32,10,90,0.549,225,223,7,5,0.08,0.06,5.46,159,167,53,308,17.21,45,342,86.84,6,6,16.1,15.8,2445,8.9,2473,0.912,100
Anaheim Ducks,2010,27.9,82,39,32,11,89,0.543,238,251,5,8,-0.07,0.09,5.96,162,167,63,300,21,67,323,79.26,8,9,16.1,15.8,2472,9.4,2736,0.911,100.8
Dallas Stars,2010,28.3,82,37,31,14,88,0.537,237,254,7,10,-0.12,0.09,5.99,160,171,61,328,18.6,65,288,77.43,8,8,11.7,12.7,2523,9.1,2559,0.905,100
Philadelphia Flyers,2010,27.7,82,41,35,6,88,0.537,236,225,4,3,0.08,-0.06,5.62,158,157,68,318,21.38,57,334,82.93,5,7,16.6,15.3,2589,9,2346,0.905,99.5
Montreal Canadiens,2010,27.5,82,39,33,10,88,0.537,217,223,7,5,-0.14,-0.07,5.37,149,157,57,261,21.84,53,311,82.96,3,8,11.4,11.3,2345,9,2634,0.917,100.4
New York Rangers,2010,26.8,82,38,33,11,87,0.53,222,218,3,4,0,-0.05,5.37,159,158,55,301,18.27,50,318,84.28,5,6,14.1,13.2,2425,9,2450,0.913,100.3
Minnesota Wild,2010,28.6,82,38,36,8,84,0.512,219,246,5,7,-0.26,0.07,5.67,151,173,59,309,19.09,53,306,82.68,3,13,11.3,11.2,2266,9.4,2415,0.901,99.9
Atlanta Thrashers,2010,27.5,82,35,34,13,83,0.506,234,256,4,6,-0.33,-0.06,5.98,170,189,51,316,16.14,57,320,82.19,9,4,12.8,13,2409,9.5,2716,0.908,100.5
Carolina Hurricanes,2010,28.9,82,35,37,10,80,0.488,230,256,4,5,-0.37,-0.05,5.93,163,181,56,329,17.02,62,320,80.63,7,8,11.8,11.8,2402,9.4,2574,0.902,99.6
Tampa Bay Lightning,2010,27,82,34,36,12,80,0.488,217,260,4,7,-0.56,-0.03,5.82,148,180,63,326,19.33,67,336,80.06,2,6,16.8,16,2367,9,2575,0.902,99.4
New York Islanders,2010,28.3,82,34,37,11,79,0.482,222,264,8,6,-0.53,-0.02,5.93,158,184,49,306,16.01,71,300,76.33,7,3,11.6,12.2,2493,8.6,2619,0.901,99.2
Columbus Blue Jackets,2010,26.1,82,32,35,15,79,0.482,216,259,2,10,-0.42,0.11,5.79,152,179,56,308,18.18,61,334,81.74,6,8,13.2,12.6,2338,9.2,2514,0.901,99
Florida Panthers,2010,28.1,82,32,37,13,77,0.47,208,244,6,10,-0.47,-0.03,5.51,151,167,44,309,14.24,59,286,79.37,7,8,11.9,12.8,2331,8.7,2800,0.916,100.8
Toronto Maple Leafs,2010,27,82,30,38,14,74,0.451,214,267,4,4,-0.68,-0.03,5.87,162,183,44,315,13.97,73,288,74.65,4,6,13.3,13.5,2671,7.9,2440,0.892,98.9
Edmonton Oilers,2010,27.1,82,27,47,8,62,0.378,214,284,8,6,-0.76,0.09,6.07,148,206,52,301,17.28,67,305,78.03,6,5,13.8,13.5,2321,8.9,2716,0.898,99.3
San Jose Sharks,2009,28.7,82,53,18,11,117,0.713,257,204,6,5,0.61,-0.04,5.62,152,137,87,360,24.17,51,304,83.22,11,12.8,14.1,2720,9.2,2228,0.911,99.3,
Boston Bruins,2009,28.4,82,53,19,10,116,0.707,274,196,4,6,0.89,-0.06,5.73,188,129,74,313,23.64,54,306,82.35,7,12.5,12.8,2482,10.9,2524,0.925,102.5,
Detroit Red Wings,2009,31.2,82,51,21,10,112,0.683,295,244,6,4,0.62,0,6.57,193,165,90,353,25.5,71,327,78.29,4,10,10.9,2965,9.7,2274,0.894,99.6,
Washington Capitals,2009,27.2,82,50,24,8,108,0.659,272,245,4,5,0.27,-0.06,6.3,176,154,85,337,25.22,75,387,80.62,11,12.7,11.4,2747,9.8,2418,0.901,99.5,
New Jersey Devils,2009,30.3,82,51,27,4,106,0.646,244,209,6,2,0.38,-0.05,5.52,168,138,58,307,18.89,65,324,79.94,4,12.9,13.1,2698,8.8,2415,0.914,100.8,
Chicago Blackhawks,2009,25.9,82,46,24,12,104,0.634,264,216,4,7,0.6,0.01,5.85,180,139,70,363,19.28,64,330,80.61,6,14.1,15.2,2683,9.7,2344,0.911,99.8,
Vancouver Canucks,2009,27.9,82,45,27,10,100,0.61,246,220,3,7,0.3,-0.02,5.68,169,139,67,357,18.77,69,371,81.4,5,16.5,16.3,2335,10.4,2392,0.911,101.8,
Pittsburgh Penguins,2009,26.6,82,45,28,9,99,0.604,264,239,6,6,0.28,-0.02,6.13,189,160,62,360,17.22,60,347,82.71,13,13.6,14.2,2381,10.8,2484,0.906,101.6,
Philadelphia Flyers,2009,27,82,44,27,11,99,0.604,264,238,4,6,0.28,-0.04,6.12,173,164,71,316,22.47,67,393,82.95,1,17.5,14.8,2441,10.7,2668,0.913,100.3,
Calgary Flames,2009,28.9,82,46,30,6,98,0.598,254,248,3,2,0.07,0,6.12,184,173,61,358,17.04,58,349,83.38,15,15.8,15.6,2643,9.5,2441,0.899,99.4,
Carolina Hurricanes,2009,27.9,82,45,30,7,97,0.591,239,226,3,5,0.11,-0.05,5.67,158,153,70,374,18.72,59,301,80.4,9,9.8,12.5,2675,8.8,2419,0.909,99.3,
New York Rangers,2009,27,82,43,30,9,95,0.579,210,218,10,6,-0.1,-0.01,5.22,143,158,48,346,13.87,40,329,87.84,14,14.6,14.9,2658,7.5,2433,0.913,98.6,
Montreal Canadiens,2009,27.6,82,41,30,11,93,0.567,249,247,7,7,0.02,-0.01,6.05,160,164,72,374,19.25,65,370,82.43,11,15,15.8,2461,9.8,2600,0.908,100.4,
Florida Panthers,2009,28.6,82,41,30,11,93,0.567,234,231,3,8,0,-0.04,5.67,173,160,51,308,16.56,54,311,82.64,9,11,11.3,2411,9.6,2843,0.922,101.5,
Columbus Blue Jackets,2009,25.8,82,41,31,10,92,0.561,226,230,6,7,-0.01,0.04,5.56,171,149,41,322,12.73,62,346,82.08,12,15,14.1,2370,9.3,2281,0.902,100.3,
St. Louis Blues,2009,27.1,82,41,31,10,92,0.561,233,233,6,6,0.05,0.05,5.68,145,161,72,351,20.51,58,357,83.75,8,15.2,15.4,2271,10,2341,0.903,99.7,
Buffalo Sabres,2009,28.1,82,41,32,9,91,0.555,250,234,8,5,0.18,-0.02,5.9,160,163,75,358,20.95,61,336,81.85,5,13.7,14.6,2505,9.7,2575,0.911,100.4,
Anaheim Ducks,2009,29.2,82,42,33,7,91,0.555,245,238,7,3,0.09,0,5.89,159,149,73,309,23.62,78,385,79.74,8,17.4,15.4,2481,9.6,2499,0.906,100.7,
Minnesota Wild,2009,27.7,82,40,33,9,89,0.543,219,200,5,3,0.22,-0.02,5.11,139,155,66,328,20.12,36,291,87.63,6,10.8,11.7,2257,9.5,2518,0.922,100.1,
