Date,Visitor,VG,Home,HG,Winner
12/31/2018,New York Islanders,3,Buffalo Sabres,1,V
12/31/2018,Philadelphia Flyers,1,Carolina Hurricanes,3,H
12/31/2018,Ottawa Senators,3,Columbus Blue Jackets,6,H
12/31/2018,San Jose Sharks,5,Calgary Flames,8,H
12/31/2018,Los Angeles Kings,3,Colorado Avalanche,2,V
12/31/2018,Montreal Canadiens,3,Dallas Stars,2,V
12/31/2018,Florida Panthers,4,Detroit Red Wings,3,V
12/31/2018,Winnipeg Jets,4,Edmonton Oilers,3,V
12/31/2018,Pittsburgh Penguins,3,Minnesota Wild,2,V
12/31/2018,Vancouver Canucks,0,New Jersey Devils,4,H
12/31/2018,New York Rangers,2,St. Louis Blues,1,V
12/31/2018,Nashville Predators,6,Washington Capitals,3,V
1/1/2019,Boston Bruins,4,Chicago Blackhawks,2,V
1/1/2019,Philadelphia Flyers,0,Nashville Predators,4,H
1/1/2019,Los Angeles Kings,0,Vegas Golden Knights,2,H
1/2/2019,Edmonton Oilers,3,Arizona Coyotes,1,V
1/2/2019,San Jose Sharks,5,Colorado Avalanche,4,V
1/2/2019,New Jersey Devils,4,Dallas Stars,5,H
1/2/2019,Calgary Flames,5,Detroit Red Wings,3,V
1/2/2019,Pittsburgh Penguins,7,New York Rangers,2,V
1/2/2019,Vancouver Canucks,4,Ottawa Senators,3,V
1/3/2019,Calgary Flames,4,Boston Bruins,6,H
1/3/2019,Florida Panthers,3,Buffalo Sabres,4,H
1/3/2019,Tampa Bay Lightning,6,Los Angeles Kings,2,V
1/3/2019,Vancouver Canucks,0,Montreal Canadiens,2,H
1/3/2019,Chicago Blackhawks,2,New York Islanders,3,H
1/3/2019,Carolina Hurricanes,5,Philadelphia Flyers,3,V
1/3/2019,Washington Capitals,2,St. Louis Blues,5,H
1/3/2019,Minnesota Wild,4,Toronto Maple Leafs,3,V
1/4/2019,Vegas Golden Knights,3,Anaheim Ducks,2,V
1/4/2019,New Jersey Devils,3,Arizona Coyotes,2,V
1/4/2019,Columbus Blue Jackets,2,Carolina Hurricanes,4,H
1/4/2019,New York Rangers,1,Colorado Avalanche,6,H
1/4/2019,Washington Capitals,1,Dallas Stars,2,H
1/4/2019,Nashville Predators,3,Detroit Red Wings,4,H
1/4/2019,Winnipeg Jets,0,Pittsburgh Penguins,4,H
1/5/2019,Buffalo Sabres,1,Boston Bruins,2,H
1/5/2019,Columbus Blue Jackets,4,Florida Panthers,3,V
1/5/2019,Edmonton Oilers,0,Los Angeles Kings,4,H
1/5/2019,Nashville Predators,4,Montreal Canadiens,1,V
1/5/2019,Minnesota Wild,4,Ottawa Senators,3,V
1/5/2019,Calgary Flames,3,Philadelphia Flyers,2,V
1/5/2019,Tampa Bay Lightning,2,San Jose Sharks,5,H
1/5/2019,New York Islanders,4,St. Louis Blues,3,V
1/5/2019,Vancouver Canucks,0,Toronto Maple Leafs,5,H
1/6/2019,Edmonton Oilers,4,Anaheim Ducks,0,V
1/6/2019,New York Rangers,0,Arizona Coyotes,5,H
1/6/2019,Washington Capitals,3,Detroit Red Wings,2,V
1/6/2019,Carolina Hurricanes,5,Ottawa Senators,4,V
1/6/2019,Chicago Blackhawks,5,Pittsburgh Penguins,3,V
1/6/2019,New Jersey Devils,2,Vegas Golden Knights,3,H
1/6/2019,Dallas Stars,1,Winnipeg Jets,5,H
1/7/2019,Calgary Flames,4,Chicago Blackhawks,3,V
1/7/2019,Minnesota Wild,1,Montreal Canadiens,0,V
1/7/2019,St. Louis Blues,3,Philadelphia Flyers,0,V
1/7/2019,Los Angeles Kings,1,San Jose Sharks,3,H
1/7/2019,Nashville Predators,4,Toronto Maple Leafs,0,V
1/8/2019,Minnesota Wild,0,Boston Bruins,4,H
1/8/2019,New Jersey Devils,1,Buffalo Sabres,5,H
1/8/2019,Montreal Canadiens,3,Detroit Red Wings,2,V
1/8/2019,Carolina Hurricanes,4,New York Islanders,3,V
1/8/2019,Florida Panthers,1,Pittsburgh Penguins,5,H
1/8/2019,Edmonton Oilers,2,San Jose Sharks,7,H
1/8/2019,Dallas Stars,3,St. Louis Blues,1,V
1/8/2019,Columbus Blue Jackets,0,Tampa Bay Lightning,4,H
1/8/2019,New York Rangers,2,Vegas Golden Knights,4,H
1/8/2019,Colorado Avalanche,4,Winnipeg Jets,7,H
1/8/2019,Philadelphia Flyers,3,Washington Capitals,5,H
1/9/2019,Ottawa Senators,2,Anaheim Ducks,1,V
1/9/2019,Colorado Avalanche,3,Calgary Flames,5,H
1/9/2019,Nashville Predators,4,Chicago Blackhawks,3,V
1/10/2019,Washington Capitals,4,Boston Bruins,2,V
1/10/2019,Nashville Predators,3,Columbus Blue Jackets,4,H
1/10/2019,Florida Panthers,3,Edmonton Oilers,4,H
1/10/2019,Ottawa Senators,4,Los Angeles Kings,1,V
1/10/2019,Winnipeg Jets,2,Minnesota Wild,3,H
1/10/2019,Toronto Maple Leafs,4,New Jersey Devils,2,V
1/10/2019,New York Islanders,4,New York Rangers,3,V
1/10/2019,Dallas Stars,1,Philadelphia Flyers,2,H
1/10/2019,Montreal Canadiens,1,St. Louis Blues,4,H
1/10/2019,Carolina Hurricanes,1,Tampa Bay Lightning,3,H
1/10/2019,Arizona Coyotes,4,Vancouver Canucks,3,V
1/10/2019,San Jose Sharks,3,Vegas Golden Knights,2,V
1/11/2019,Pittsburgh Penguins,7,Anaheim Ducks,4,V
1/11/2019,Buffalo Sabres,3,Carolina Hurricanes,4,H
1/11/2019,Florida Panthers,3,Calgary Flames,4,H
1/11/2019,Detroit Red Wings,2,Winnipeg Jets,4,H
1/12/2019,Tampa Bay Lightning,5,Buffalo Sabres,3,V
1/12/2019,Vegas Golden Knights,4,Chicago Blackhawks,3,V
1/12/2019,St. Louis Blues,3,Dallas Stars,1,V
1/12/2019,Arizona Coyotes,3,Edmonton Oilers,2,V
1/12/2019,Pittsburgh Penguins,2,Los Angeles Kings,5,H
1/12/2019,Detroit Red Wings,5,Minnesota Wild,2,V
1/12/2019,Colorado Avalanche,0,Montreal Canadiens,3,H
1/12/2019,Philadelphia Flyers,2,New Jersey Devils,3,H
1/12/2019,New York Rangers,2,New York Islanders,1,V
1/12/2019,Ottawa Senators,1,San Jose Sharks,4,H
1/12/2019,Boston Bruins,3,Toronto Maple Leafs,2,V
1/12/2019,Columbus Blue Jackets,2,Washington Capitals,1,V
1/13/2019,Nashville Predators,3,Carolina Hurricanes,6,H
1/13/2019,New York Rangers,5,Columbus Blue Jackets,7,H
1/13/2019,Arizona Coyotes,1,Calgary Flames,7,H
1/13/2019,Tampa Bay Lightning,1,New York Islanders,5,H
1/13/2019,Florida Panthers,1,Vancouver Canucks,5,H
1/13/2019,Anaheim Ducks,3,Winnipeg Jets,4,H
1/14/2019,Montreal Canadiens,3,Boston Bruins,2,V
1/14/2019,Buffalo Sabres,2,Edmonton Oilers,7,H
1/14/2019,Chicago Blackhawks,5,New Jersey Devils,8,H
1/14/2019,Minnesota Wild,4,Philadelphia Flyers,7,H
1/14/2019,Colorado Avalanche,6,Toronto Maple Leafs,3,V
1/14/2019,St. Louis Blues,4,Washington Capitals,1,V
1/15/2019,New Jersey Devils,1,Columbus Blue Jackets,4,H
1/15/2019,Tampa Bay Lightning,2,Dallas Stars,0,V
1/15/2019,Anaheim Ducks,1,Detroit Red Wings,3,H
1/15/2019,Los Angeles Kings,2,Minnesota Wild,3,H
1/15/2019,Florida Panthers,1,Montreal Canadiens,5,H
1/15/2019,Washington Capitals,2,Nashville Predators,7,H
1/15/2019,St. Louis Blues,1,New York Islanders,2,H
1/15/2019,Carolina Hurricanes,2,New York Rangers,6,H
1/15/2019,Pittsburgh Penguins,2,San Jose Sharks,5,H
1/15/2019,Vegas Golden Knights,1,Winnipeg Jets,4,H
1/16/2019,San Jose Sharks,3,Arizona Coyotes,6,H
1/16/2019,Buffalo Sabres,4,Calgary Flames,3,V
1/16/2019,Colorado Avalanche,2,Ottawa Senators,5,H
1/16/2019,Boston Bruins,3,Philadelphia Flyers,4,H
1/16/2019,Edmonton Oilers,3,Vancouver Canucks,2,V
1/17/2019,St. Louis Blues,2,Boston Bruins,5,H
1/17/2019,Los Angeles Kings,2,Dallas Stars,1,V
1/17/2019,Anaheim Ducks,3,Minnesota Wild,0,V
1/17/2019,Winnipeg Jets,5,Nashville Predators,1,V
1/17/2019,New Jersey Devils,1,New York Islanders,4,H
1/17/2019,Chicago Blackhawks,3,New York Rangers,4,H
1/17/2019,Toronto Maple Leafs,4,Tampa Bay Lightning,2,V
1/18/2019,Pittsburgh Penguins,3,Arizona Coyotes,2,V
1/18/2019,Ottawa Senators,4,Carolina Hurricanes,1,V
1/18/2019,Montreal Canadiens,4,Columbus Blue Jackets,1,V
1/18/2019,Detroit Red Wings,4,Calgary Flames,6,H
1/18/2019,Toronto Maple Leafs,1,Florida Panthers,3,H
1/18/2019,Buffalo Sabres,3,Vancouver Canucks,4,H
1/18/2019,New York Islanders,2,Washington Capitals,0,V
